,Test,text-davinci-003,text-curie-001,text-babbage-001
0,myers-briggs,D,C,C
1,myers-briggs,D,D,A
2,myers-briggs,D,D,A
3,myers-briggs,D,C,D
4,myers-briggs,C,D,A
5,myers-briggs,D,C,A
6,myers-briggs,B,E,C
7,myers-briggs,D,E,D
8,myers-briggs,D,D,D
9,myers-briggs,A,C,C
10,myers-briggs,B,E,C
11,myers-briggs,D,E,C
12,myers-briggs,D,E,C
13,myers-briggs,C,E,E
14,myers-briggs,D,C,C
15,myers-briggs,D,C,C
16,myers-briggs,D,E,C
17,myers-briggs,D,E,C
18,myers-briggs,D,E,C
19,myers-briggs,C,D,E
20,myers-briggs,D,E,E
21,myers-briggs,D,E,C
22,myers-briggs,D,E,D
23,myers-briggs,B,C,D
24,myers-briggs,D,E,A
25,myers-briggs,A,D,E
26,myers-briggs,B,C,C
27,myers-briggs,B,D,C
28,myers-briggs,B,B,E
29,myers-briggs,B,C,C
30,myers-briggs,D,C,A
31,myers-briggs,D,C,C
32,myers-briggs,B,E,A
33,myers-briggs,D,C,C
34,myers-briggs,D,E,C
35,myers-briggs,D,C,A
36,myers-briggs,D,D,C
37,myers-briggs,D,D,C
38,myers-briggs,B,C,A
39,myers-briggs,D,E,C
40,myers-briggs,D,C,C
41,myers-briggs,A,C,C
42,myers-briggs,B,E,D
43,myers-briggs,C,C,A
44,myers-briggs,D,E,C
45,myers-briggs,B,D,C
46,myers-briggs,B,D,C
47,myers-briggs,D,D,C
